remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Gelsemium,"i feel bad effects from fright, fear, exciting news",,,,,
Millefolium,"suffering from wounds which bleed profusely, especially after a",,,,,
Camphora,"in first stages of cholera morbus and asiatic cholera; severe, long-",general,not specified,Allen,moderate,0.8
Pulsatilla,i have p.); flows more,,,,,
Gelsemium,"i have ac., sulph.);",,,,,
Arum Triphyllum,nose feels stopped up in spite,general,not specified,Allen,moderate,0.8
Mercurius,it gets worse when rubbing the cheek,,,,,
Aconitum Napellus,"it hurts when persons, especially girls, of a full, plethoric habit who lead a",,,,,
Cuprum Metallicum,"it hurts when after pains; sever, distressing, in calves and soles",,,,,
Natrum Sulphuricum,i am experiencing near water; a constitution in which gonorrhoeal poison is most,,,,,
Nitric Acid,i have after miscarriage or post-partum; from over-exertion of body;,,,,,
Spongia Tosta,"i feel laughing, reading aloud, singing; so weak, unable to talk",,,,,
Thuja,i feel keynotes by h.c,,,,,
Ver,it gets worse when for the bad effects,,,,,
Podophyllum,it hurts when yellow meal-like sediment; prolapse of rectum before or with stool,,,,,
Chamomilla,"midnight; with heat, thirst and fainting; with numbness of affected",general,not specified,Allen,moderate,0.8
Cuprum Metallicum,i noticed amelioration,,,,,
Pulsatilla,i am experiencing amelioration,,,,,
Kali Bichromicum,i feel gastric complaints: bad effects of beer; loss,,,,,
Causticum,i am experiencing amelioration,,,,,
Kali Bromatum,it hurts when moon; headache follows attack,,,,,
Diphtherinum,it hurts when (a nosode.),,,,,
Sarsaparilla,i am experiencing stone in bladder; bloody urine,,,,,
Aesculus Hippocastanum,i am experiencing useful after nux and sulph,,,,,
Alumina,i feel after menses: exhausted,,,,,
Colchicum Autumnale,"tearing, pressing; light or superficial during warm weather; affect",general,not specified,Allen,moderate,0.8
Mercurius,i feel ulcers; red or white,,,,,
Psorinum,taste and carrion-like odor (kali m.),general,not specified,Allen,moderate,0.8
The Publishers,i have symptomatology is made up of the unchanging,,,,,
Theridion Curassavicum,"i have apparently goes to the root of the evil and destroys the cause."" - dr",,,,,
Natrum Muriaticum,"emaciation; loosing flesh while living well (abrot., iod.); throat",general,not specified,Allen,moderate,0.8
Mercurius,"having may even increase the suffering (profuse perspiration relieves, nat lately",,,,,
Lachesis,suffering from great debility,,,,,
Graphites,"it gets worse when after, kreos.)",,,,,
Aconitum Napellus,having the countenance is lately,,,,,
Aethusa Cynapium,well-marked linea nasalia,general,not specified,Allen,moderate,0.8
Trillium Pendulum,"i feel faint, dim sight, palpitation, obstruction and noises in ears (fer.);",,,,,
Pulsatilla,"it hurts when thuja; oysters, brom., lyc.; milk, cal., nat",,,,,
Phosphorus,"my problem is heaviness of chest, as if weight were lying on it",,,,,
Sulphur,"i noticed (menses, leucorrhoea, etc.); patient seems to get almost well when",,,,,
Medorrhinum,time passes,general,not specified,Allen,moderate,0.8
Natrum Sulphuricum,i noticed depressed; lively music makes her sad;,,,,,
Abrotanum,i have southernwood,,,,,
Aconitum Napellus,it hurts when haste; must change position often; everything startles him,,,,,
Actaea Racemosa,suffering from symptoms during,,,,,
Petroselinum,"i feel thirsty and hungry, yet as soon as they begin to eat or",,,,,
Theridion Curassavicum,"chest, below the scapula, extending to neck (anis., myr., pix,",general,not specified,Allen,moderate,0.8
Argentum Nitricum,suffering from craves sugar; child is,,,,,
Nux Moschata,"it hurts when great dryness of the mouth (apis, lach.); tongue so dry it",,,,,
Sulphur,off with a little moisture,general,not specified,Allen,moderate,0.8
Mercurius Biniodide,"it hurts when side, at night and lying on affected side",,,,,
Apis Mellifica,"suffering from severely; frequent, painful, scanty, bloody",,,,,
Chamomilla,"i feel bed (puls., med., sulph.)",,,,,
Coffee Cruda,"i am experiencing full of ideas; quick to act, no sleep on",,,,,
Phosphoric Acid,"i feel from care, chagrin, grief, sorrow, homesickness (ign.); sleepy,",,,,,
Diseases occurring in winter,i feel keynotes by h.c,,,,,
Muratic Acid,i have mouth and anus are chiefly,,,,,
Nux Moschata,"i noticed - in dry, warm weather; warm room; wrapping up",,,,,
Natrum Carbonicum,it hurts when great debility: caused by heat of,,,,,
Chamomilla,"nursing women (runs out after weaning, con.)",general,not specified,Allen,moderate,0.8
Bacillinum,"my problem is nervous system - beginning suddenly, ceasing suddenly",,,,,
Staphisagria,my problem is drawing cold air into mouth; < from cold drinks and after eating,,,,,
Millefolium,vertigo; when,general,not specified,Allen,moderate,0.8
Veratrum Album,it gets worse when cannot bear to be left alone; yet persistently,,,,,
Benzoic Acid,"it gets worse when urine dark brown, and the urinous odor highly",,,,,
Veratrum Album,in congestive or pernicious,general,not specified,Allen,moderate,0.8
Magnesia Muratica,my problem is during difficult dentition are unable to digest milk; it causes pain,,,,,
Lobelia Inflata,i have tobacco or tobacco smoke,,,,,
Carbo Vegetabilis,it gets worse when capillary circulation causes blueness of skin and coldness of,,,,,
Nitric Acid,"having haemorrhage: from bowels in typhoid or typhus (crot., mur lately",,,,,
Glonoine,i have nitro-glycerine,,,,,
Nux will relieve,"ign., puls.)",general,not specified,Allen,moderate,0.8
Nux Vomica,i have chiefly successful with persons of an ardent character; of an,,,,,
Zinc,it gets worse when aggravation,,,,,
Ruta Graveolens,"i noticed from over-use in bad light; fine sewing, over-reading at night;",,,,,
Colchicum Autumnale,"having sediment; bloody, brown, black, inky; contains clots of putrid lately",,,,,
Lycopodium Clavatum,"suffering from body emaciated, lower part semi-dropsical; predisposed to lung",,,,,
Sulphur,wakefulness the whole night,general,not specified,Allen,moderate,0.8
Apis Mellifica,"suffering from oedema; bag-like, puffy swelling under the",,,,,
Conium Maculatum,my problem is red pimples over body which ceases with the flow (dul.); stopped,,,,,
Zinc,i feel - from cold; constant walking,,,,,
Lac Caninum,"i noticed inclination to swallow, painful, almost impossible (mer.); pains",,,,,
Helleborus Niger,"i noticed questioned; a picture of acute idiocy (of chronic, bar",,,,,
Croton Tiglium,- diarrhoea; every motion; after drinking; while,general,not specified,Allen,moderate,0.8
Platina,"my problem is - compare: aur., croc., ign., kali p., puls., sep., stan.;",,,,,
Ignatia,it gets worse when angry with himself,,,,,
Chamomilla,"i have in diseases of children, cranial",,,,,
Natrum Muriaticum,"suffering from quinine; headache, with unconsciousness during chill and heat;",,,,,
Carbo Vegetabilis,"i feel greenish, cold with cold sweat; after haemorrhage",,,,,
Causticum,i feel causticum antidotes paralysis,,,,,
Psorinum,it gets worse when to not only > acute attack but eradicate,,,,,
Ranunculus Bulbosus,"having to touch, smart, burn (salic lately",,,,,
Arsenic Album,"i am experiencing headache, which is temporarily > by cold bathing (spig.); burning",,,,,
