symptom,possible_condition,severity,patient_age_group,remedy_name,potency,keynote_indication,remedy_reason,suitable_for_bp_high,suitable_for_diabetic,avoid_if_allergy,dietary_restrictions,what_to_avoid,consult_doctor,source_book,additional_notes
headache,Tension Headache,low,all,Natrum Muriaticum,6C,"Mild hammering headache from sunrise to sunset; associated with stress or grief; patient prefers solitude","At LOW severity this remedy gently addresses early tension headaches rooted in emotional suppression or stress. Works best at 6C when pain is mild and manageable without medication",yes - safe and regulates sodium balance naturally,yes - no sugar; safe for diabetics,None,Avoid excess salt; light meals,Coffee / Camphor / Mint / Strong perfumes,no,Allen's Keynotes,Best for mild headaches in anemic or emotionally suppressed individuals
headache,Tension Headache,moderate,all,Belladonna,30C,"Throbbing congestive headache; face red and hot; worse from light and noise; sudden in onset","At MODERATE severity Belladonna is needed when headache becomes throbbing and congestive with heat in head. 30C potency matches the increased intensity. Acts fast on vascular congestion",caution - may temporarily raise BP; consult if BP patient,yes - safe for diabetics,Nightshade allergy (rare),Light easily digestible food; avoid heavy meals,Coffee / Camphor / Mint / Bright light / Noise / Jarring,no,Allen's Keynotes + Boericke,Switch from Natrum Mur to Belladonna when headache becomes throbbing and hot
headache,Severe Migraine / Hypertensive Headache,high,adult,Glonoine,200C,"Bursting explosive headache with surging blood to head; worse from sun and heat; confusion of place; pulsations felt all over","At HIGH severity Glonoine 200C is required for bursting congestive headaches that feel like head will explode. Acts on vascular engorgement rapidly. Must consult doctor if BP is elevated alongside",specifically indicated - best homeopathic remedy for hypertensive headache,yes - safe for diabetics,Nitroglycerine compounds (dilution completely safe),Avoid sun and heat; cool dark room; complete rest,Coffee / Camphor / Mint / Sun / Heat / Exertion / Stimulants,yes - rule out hypertensive crisis,Allen's Keynotes + Boericke,Confusion about locality is keynote; seek emergency care if vision changes or numbness occurs
fever,Early Stage Fever,low,all,Ferrum Phosphoricum,6X,"Fever below 100F; no defining symptoms yet; face flushed; pulse rapid; first stage of any inflammation","At LOW severity Ferrum Phos 6X is the ideal first-stage fever remedy. Works as a tissue salt to reduce early inflammation before the body's full fever response. Safe for all ages including children",yes - completely safe for BP patients,yes - completely safe for diabetics,Iron sensitivity (extremely rare),Light liquid diet; coconut water; ORS; avoid solid food,Coffee / Camphor / Mint,no,Boericke's Materia Medica,Give every 2 hours at start of fever; most effective when started immediately
fever,Viral Fever with Restlessness,moderate,all,Arsenicum Album,30C,"Fever with intense restlessness and anxiety; thirst for small sips; burning heat; worse after midnight; chilly despite fever","At MODERATE severity when fever comes with anxiety restlessness and midnight aggravation Arsenicum Album 30C is the key remedy. Addresses both the fever and the psychological distress that accompanies it",yes - safe and calms anxiety-driven BP spikes,yes - safe for diabetics,Arsenic compounds (homeopathic dilution completely safe),Warm drinks only; avoid cold food and drinks; light diet,Coffee / Camphor / Mint / Cold / Midnight disturbance,no,Allen's Keynotes + Boericke,Particularly useful in dengue-like fever and food poisoning fever
fever,High Fever / Typhoid / Dengue Pattern,high,all,Baptisia Tinctoria,200C,"High fever with great prostration; stupor; body feels scattered; offensive discharges; typhoid-like state; cannot think clearly","At HIGH severity Baptisia 200C addresses the toxic state of high fevers with prostration and stupor. The patient feels the body is in pieces. Essential for typhoid-pattern and dengue-pattern fevers alongside medical supervision",yes - safe for BP patients,yes - safe for diabetics,Baptisia plant (dilution safe),ORS continuously; complete bed rest; liquid diet only,Coffee / Camphor / Mint / Exertion,yes - mandatory for high fever; seek medical evaluation,Boericke's Materia Medica,Always combine with conventional medical care for fever above 103F; this supports recovery
cough,Dry Irritating Cough - Early,low,all,Aconitum Napellus,30C,"Sudden dry cough after exposure to cold wind; hoarse; croupy; comes on at night; much anxiety with cough","At LOW severity when cough just started after cold exposure Aconite 30C is the first remedy. Stops the cough from developing further if given in the very first 24 hours. Best at onset stage",yes - safe for BP patients,yes - safe for diabetics,Aconite plant (dilution safe),Warm water and ginger tea; avoid cold air,Coffee / Camphor / Mint / Cold dry wind,no,Allen's Keynotes,Give at very first sign of cough after cold exposure; will not work if given late
cough,Dry Hard Painful Cough,moderate,all,Bryonia Alba,30C,"Dry hard cough; must hold chest while coughing due to pain; worse from any motion; very thirsty for large quantities","At MODERATE severity when cough becomes dry painful and motion-worsened Bryonia 30C is needed. The stitching chest pain on coughing is the key indicator to switch to this remedy from Aconite",yes - safe for BP patients,yes - safe for diabetics,None,Warm water; avoid cold; complete rest; no movement,Coffee / Camphor / Mint / Motion / Exertion / Deep breathing,no,Allen's Keynotes + Boericke,Patient holds chest while coughing and lies perfectly still; worsening on slightest movement
cough,Rattling Cough with Mucus,high,all,Antimonium Tartaricum,200C,"Loud rattling of mucus in chest; too weak to expectorate; face pale and cold; drowsy; gasping for breath; acute bronchitis","At HIGH severity with life-threatening mucus accumulation and inability to breathe Antimonium Tart 200C is critical. Patient is drowning in their own mucus. Use alongside emergency care - this can prevent hospitalization if given early in this stage",yes - safe for BP patients,yes - safe for diabetics,Antimony (homeopathic dilution safe),Steam inhalation; warm soups only; semi-upright position,Coffee / Camphor / Mint / Cold air / Dairy,yes - high severity cough needs medical evaluation,Boericke's Materia Medica,Critical remedy for bronchopneumonia; seek emergency care if breathing fails
sore throat,Mild Sore Throat - First Stage,low,all,Aconitum Napellus,30C,"Sudden sore throat after cold wind or cold drinks; dry burning throat; no pus; just began; much restlessness","At LOW severity at very onset of sore throat from cold Aconite 30C prevents progression. Must be given in first 24 hours. Throat is dry and burning but no infection has set in yet",yes - safe for BP patients,yes - safe for diabetics,Aconite plant (dilution safe),Warm liquids only; honey in warm water,Coffee / Camphor / Mint / Cold drinks / Cold air,no,Allen's Keynotes,Window of opportunity remedy - only effective at very start
